model_variant,issue_hour_utc,rows,distinct_days,mae_expected,rmse_expected,bias_expected,mean_nll,mean_crps,brier_peak_already_passed,brier_upside_ge_1c,brier_upside_ge_2c,brier_upside_ge_3c,coverage_80,mean_false_upside_probability
enhanced_intraday_ml,0,438,438,2.918639667731601,3.6354220660190806,-0.4433690394468102,7.283978195634064,0.12919957842399007,0.05796328286696659,0.0903049912065632,0.13519124139081926,0.160396103022736,0.7488584474885844,0.4178305443745345
enhanced_intraday_ml,3,438,438,2.7796220757729904,3.478700170611189,-0.3292783461119486,7.183235716810536,0.12100447656719986,0.056325569187248695,0.09225575508645566,0.13978829555011826,0.15826593350368454,0.771689497716895,0.42104798237556684
enhanced_intraday_ml,6,438,438,2.5173644406101845,3.192767413050394,-0.03678159837286548,5.529744093393736,0.11804492569357863,0.058069519566764226,0.09577077296904127,0.13959036242863646,0.15574777531638478,0.8333333333333334,0.43575704776827734
enhanced_intraday_ml,9,437,437,1.480880602492105,1.9246920581858593,-0.31466801709992837,2.394488616593165,0.08484092410820014,0.07145342093375226,0.12252985192126006,0.16960724056621054,0.18279240093565843,0.8192219679633868,0.3742140875131708
enhanced_intraday_ml,12,438,438,0.7565835679137521,0.9350789311288084,0.3895815253943276,2.020813646136156,0.045451744164082056,0.21900139525231765,0.23111872489192395,0.12657740803413534,0.03706560842459611,0.860730593607306,0.3440655724480205
enhanced_intraday_ml,15,438,438,0.44084435541385314,0.5446726669994526,0.2479271771090174,4.997958736969384,0.028402910772221304,0.11758034485605422,0.02615390106448444,0.0006862650815969581,0.0004683807421275034,0.0821917808219178,0.21647492837257615
enhanced_intraday_ml,18,438,438,0.4557842557056418,0.5623705142910277,0.32779617594852917,6.0283520473388075,0.02434358438502974,0.08581715739214557,0.009807798123969756,0.0006530159038176461,0.0005117746231218816,0.0821917808219178,0.25372610677852897
enhanced_spatial_metar_ml,0,438,438,2.6797699316092882,3.382365266684183,-0.4727771235755405,7.362273339197561,0.11792025331493605,0.05592916370054248,0.08908282531357581,0.12770349455950167,0.14027499276228408,0.769406392694064,0.407691301500106
enhanced_spatial_metar_ml,3,438,438,2.5832886588487867,3.229066113790987,-0.3859131546458444,7.3310670453791555,0.11120010906458398,0.055623654559218035,0.08992792705052226,0.1302032002174509,0.14102800284951017,0.7899543378995434,0.40888247387338844
enhanced_spatial_metar_ml,6,438,438,2.321795098524618,2.9654985994951075,-0.12479905177548767,5.629946707096793,0.10833248709867152,0.06064964788042662,0.09885110128384192,0.13462823858925008,0.14361503094494263,0.8493150684931506,0.4273121469177332
enhanced_spatial_metar_ml,9,437,437,1.4024796906404053,1.8095476964925952,-0.32590209180362184,2.2118952733573622,0.07985702540081427,0.07107442773961416,0.12032868023158373,0.1669521069819115,0.17012991799983299,0.816933638443936,0.3640918676784612
enhanced_spatial_metar_ml,12,438,438,0.6976273534777041,0.8625659497537443,0.3733901024769498,2.0396679359358223,0.042815712332853195,0.19131414320385795,0.19254946033869644,0.11419703796963865,0.03706560842459611,0.860730593607306,0.3188490284780087
enhanced_spatial_metar_ml,15,438,438,0.4410342736040572,0.5449020050763752,0.24846186610961962,4.998567919337652,0.02842066411877214,0.11762266389739764,0.026128263277762,0.0006862650815969581,0.0004683807421275034,0.0821917808219178,0.21623929545786968
enhanced_spatial_metar_ml,18,438,438,0.4560243023482211,0.5626846536205345,0.3283449430731708,6.0287601797454275,0.024359257886685873,0.08583816373284872,0.009772666215401118,0.0006530159038176461,0.0005117746231218816,0.0821917808219178,0.25349342850852097
